What's your relationship to renting in Bengaluru right now?,What area of Bangalore do you rent properties in?,How many houses or flats do you rent out in Bengaluru?,Why did you become a landlord?,"At your last renewal, how much did you raise the rent?",Why did you raise the rent last time?,Do you think the rent is hard for your tenants to pay?,How did you decide your current rent?,How quickly do you find a tenant?,Do you think Bengaluru should put a limit on how much rent can go up?,"If a rent limit cut your earnings, what would you do?","Did you use a broker to find your tenant? If yes, roughly what did it cost you?",How old are you?,What best describes your work right now?,Response Type
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",The house was empty/does not apply,People were ready to pay,They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Strongly disagree,Keep renting — some rent is better than none,,25 – 34,Self-employed / run my own business,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",Three to five,I got it from family / inherited it,I did not raise it,I did not raise it,It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Not sure,Keep renting — some rent is better than none,Yes. Usually half to one month rent from my side and I guess same from the other side,45 – 54,Self-employed / run my own business,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",They can afford it — I checked before renting,I took what the last tenant paid and added a bit,In a week or two,Agree,Keep renting — some rent is better than none,No did not use a broker. Rented it via a reference.,45 – 54,Mid career,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Two,I got it from family / inherited it,11–20%,"Rents in the area went up, so I did the same",It is fair for the area,"Honestly, whatever I felt I could get",In a week or two,Disagree,There are ways to get around such limits,No,35 – 44,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",,"I bought it to live in, then moved to a different house",,A new metro or office nearby raised demand,It is fair for the area,,In a week or two,Strongly disagree,Rent it out for short stays instead (like Airbnb),"Yes, half month rent",45 – 54,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",11–20%,Other reasons,"To be honest, it is not my worry","Honestly, whatever I felt I could get",It has not been vacant in years,Strongly disagree,There are ways to get around such limits,no,55 and above,Senior career,completed
I own one or more homes that I rent out,"North (Hebbal, Yelahanka, Airport side)",One,"I bought it to live in, then moved to a different house",11–20%,People were ready to pay,They can afford it — I checked before renting,The broker or agent told me the rate,In a week or two,Disagree,There are ways to get around such limits,"Used online services - paid 15,000/-.",55 and above,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Disagree,Rent it out for short stays instead (like Airbnb),No,45 – 54,Senior career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",,I bought it to earn rent,Up to 10%,"I was charging low before, so I fixed it",It is fair for the area,The broker or agent told me the rate,More than a month,Strongly disagree,There are ways to get around such limits,,35 – 44,,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,"I bought it to live in, then moved to a different house",The house was empty/does not apply,I did not raise it,They can afford it — I checked before renting,I matched nearby houses,In a week or two,Agree,Keep renting — some rent is better than none,no,35 – 44,Senior career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",Two,I bought it for my child or for later use,,"Rents in the area went up, so I did the same",It is fair for the area,The broker or agent told me the rate,In a few days — many people wanted it,Not sure,Keep renting — some rent is better than none,,55 and above,Senior career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,I bought it to earn rent,11–20%,,They can afford it — I checked before renting,,In a week or two,Not sure,Keep renting — some rent is better than none,No,45 – 54,Senior career,completed
I own one or more homes that I rent out,"North (Hebbal, Yelahanka, Airport side)",Two,I got it from family / inherited it,Up to 10%,Other reasons,They can afford it — I checked before renting,I matched nearby houses,In a few days — many people wanted it,Agree,Keep renting — some rent is better than none,"No, but used online platforms, at no cost",55 and above,Self-employed / run my own business,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,"I was charging low before, so I fixed it",They can afford it — I checked before renting,I took what the last tenant paid and added a bit,In a week or two,Disagree,Sell the house,No,55 and above,Senior career,completed
I own one or more homes that I rent out,Outer / just outside city limits,,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,I matched nearby houses,It has not been vacant in years,Agree,Keep renting — some rent is better than none,,45 – 54,Self-employed / run my own business,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"I was charging low before, so I fixed it",It is fair for the area,I matched nearby houses,More than a month,Not sure,Keep renting — some rent is better than none,,45 – 54,Mid career,completed
I own one or more homes that I rent out,Outer / just outside city limits,One,"I bought it to live in, then moved to a different house",Up to 10%,Other reasons,,"Honestly, whatever I felt I could get",More than a month,Agree,Rent it out for short stays instead (like Airbnb),"Yes , I think it was one month rent",25 – 34,Mid career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,"I bought it to live in, then moved to a different house",,"I was charging low before, so I fixed it",It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Agree,Keep renting — some rent is better than none,,55 and above,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,The broker or agent told me the rate,In a few days — many people wanted it,Disagree,Keep renting — some rent is better than none,0,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",They can afford it — I checked before renting,The broker or agent told me the rate,More than a month,Strongly disagree,There are ways to get around such limits,"50,000 INR",35 – 44,Mid career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,I bought it for my child or for later use,Up to 10%,Other reasons,It is fair for the area,The broker or agent told me the rate,In a week or two,Disagree,Rent it out for short stays instead (like Airbnb),1 month rent,55 and above,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,I got it from family / inherited it,Up to 10%,,They can afford it — I checked before renting,I took what the last tenant paid and added a bit,It has not been vacant in years,Agree,Keep renting — some rent is better than none,No,45 – 54,,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,Other reasons,Up to 10%,"My costs went up — tax, repairs, loan etc",It is fair for the area,The broker or agent told me the rate,In a few days — many people wanted it,Strongly disagree,Not sure,Quite a lot! A months rent as commission,55 and above,Not working right now,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",,The broker or agent told me the rate,More than a month,Disagree,Not sure,One months rent as commission,55 and above,Not working right now,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,I got it from family / inherited it,Up to 10%,Other reasons,They can afford it — I checked before renting,I matched nearby houses,More than a month,Strongly disagree,There are ways to get around such limits,1 month rent,35 – 44,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,The broker or agent told me the rate,In a few days — many people wanted it,Strongly disagree,Keep renting — some rent is better than none,Part of propert management services,35 – 44,Senior career,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",Two,Other reasons,Up to 10%,Other reasons,They can afford it — I checked before renting,I matched nearby houses,In a week or two,Strongly disagree,Not sure,15 days rent,55 and above,Mid career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",Two,"I bought it to live in, then moved to a different house",21–40%,People were ready to pay,They can afford it — I checked before renting,"Honestly, whatever I felt I could get",More than a month,Strongly disagree,Sell the house,40% of rent,55 and above,Not working right now,completed
I own one or more homes that I rent out,,One,,Up to 10%,,It is fair for the area,I matched nearby houses,,Disagree,There are ways to get around such limits,,35 – 44,,completed
I own one or more homes that I rent out,"Central (Indiranagar, Koramangala, MG Road area)",One,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",They can afford it — I checked before renting,I matched nearby houses,In a week or two,Agree,Rent it out for short stays instead (like Airbnb),,35 – 44,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,I bought it to earn rent,Up to 10%,Other reasons,I have not thought about it,The broker or agent told me the rate,In a week or two,Agree,Keep renting — some rent is better than none,,45 – 54,Senior career,completed
I own one or more homes that I rent out,"East (Whitefield, Marathahalli, KR Puram)",One,I bought it to earn rent,Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,The broker or agent told me the rate,In a week or two,Strongly disagree,,,55 and above,Not working right now,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,I bought it for my child or for later use,I did not raise it,I did not raise it,They can afford it — I checked before renting,I took what the last tenant paid and added a bit,More than a month,Agree,Sell the house,i used No Broker,55 and above,Senior career,completed
I own one or more homes that I rent out,Outer / just outside city limits,One,I got it from family / inherited it,Up to 10%,"I was charging low before, so I fixed it",They can afford it — I checked before renting,I matched nearby houses,In a week or two,Agree,Keep renting — some rent is better than none,,25 – 34,Mid career,completed
I own one or more homes that I rent out,"North (Hebbal, Yelahanka, Airport side)",One,I bought it for my child or for later use,Up to 10%,,It is fair for the area,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Disagree,Rent it out for short stays instead (like Airbnb),No,55 and above,Self-employed / run my own business,completed
I own one or more homes that I rent out,"West (Rajajinagar, Malleshwaram, Vijayanagar)",Two,"I bought it to live in, then moved to a different house",Up to 10%,"I was charging low before, so I fixed it",It is fair for the area,I matched nearby houses,In a few days — many people wanted it,Strongly disagree,Keep renting — some rent is better than none,1 month for first time and small token fee for renewals,35 – 44,Senior career,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",One,"I bought it to live in, then moved to a different house",Up to 10%,"My costs went up — tax, repairs, loan etc",They can afford it — I checked before renting,I took what the last tenant paid and added a bit,In a few days — many people wanted it,Strongly disagree,Keep the house vacant until the rule changes,no,55 and above,Not working right now,completed
I own one or more homes that I rent out,"South (HSR, BTM, Jayanagar, JP Nagar)",Two,I bought it to earn rent,Up to 10%,"Rents in the area went up, so I did the same",It is fair for the area,I matched nearby houses,In a week or two,Disagree,Keep renting — some rent is better than none,"Yes, about one month's rent (survey flow test)",55 and above,Self-employed / run my own business,completed
