What's your relationship to renting in Bengaluru right now?,"Before you owned a home, did you rent in Bengaluru?",How much did rising rent push you to buy a home?,"Compared to what you once paid, how do today's rents look to you?",Do you think buying a home is still possible for young renters today?,Do you think Bengaluru should put a limit on how much rent can go up?,What would you tell a young renter in Bengaluru today?,How old are you?,What best describes your work right now?,Response Type
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,About the same as my time,,Disagree,Rent what you afford and take good care of the house,,Self-employed / run my own business,completed
I own the home I live in,"Yes, for a short time",Not much — I bought for other reasons,"It is worse now, but I would still manage",Almost impossible now,Strongly disagree,"Till you build a reasonable bit of saving, and are sort of settled in a location, it's always better to rent than buy. You need flexibility in moving around. Also a large EMI liability creates other issues- what if you lose your job?",45 – 54,Not working right now,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"Honestly, I would not be able to rent my old life today",Almost impossible now,Strongly agree,"Find a good owner who understands you, even if the house may not be 100% to your taste.",45 – 54,Self-employed / run my own business,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Hard, but possible",Disagree,"I would recommend them to rent a home they like spending time in, preferably close to a few friends, even if it means a longer commute (if it’s 2-3 days a week, of it’s 5 days then I would recommend staying closer) and reduce on other expenses like going out etc as a good home especially in a society can really uplift your life.",25 – 34,,completed
I own the home I live in,"Yes, for many years",,"It is worse now, but I would still manage","Hard, but possible",,Renting is better than buying,45 – 54,Self-employed / run my own business,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,"It is worse now, but I would still manage","Yes, if they plan and save",Strongly agree,"Save, the market is getting to tipping point, prices will rationalize in next 2-3 years and you can get out of the security deposit forfeited rigmarole by buying. The rationalization is already underway and resales will come as rates go up. Too many people jumped the gun and can't afford the increase in EMIs coming their way. Society groups are already filled with folks worrying about spending 500/- more for maids.",35 – 44,Self-employed / run my own business,completed
I own the home I live in,"Yes, for many years",It was one of the reasons,About the same as my time,"Hard, but possible",Strongly disagree,Live within your means,35 – 44,Senior career,completed
I own the home I live in,"Yes, for many years",Not much — I bought for other reasons,"It is worse now, but I would still manage","Yes, but only with help from family/friends",Agree,Don't bother with home ownership in the medium term- its a consumption decision and rental yields still don't justify the investment. It may be better to have flexibility to move around and shift locations easily with the job uncertainty that exists now,35 – 44,Mid career,completed
I own the home I live in,"Yes, for a short time",It was one of the reasons,"Honestly, I would not be able to rent my old life today","Yes, but only with help from family/friends",Strongly agree,"Live within your means, share accomodation like we did in the 90s, dont lean on parents to fund your lifestyle.",45 – 54,Senior career,completed
I own the home I live in,"Yes, for a short time",It was one of the reasons,About the same as my time,"Yes, if they plan and save",Strongly disagree,Buy somewhere. Anywhere. Even if it's not a tier 1 city.,35 – 44,Self-employed / run my own business,completed
